x(m)	y(m)	Flux(W/m2)
0.119852	0.78	35496.6
0.122051	0.78	50565.8
0.12425	0.78	44873
0.126449	0.78	52575.1
0.128648	0.78	59272.6
0.130847	0.78	69988.5
0.133046	0.78	59272.6
0.135246	0.78	59607.4
0.137445	0.78	50565.8
0.139644	0.78	50900.7
0.141843	0.78	46212.5
0.144042	0.78	50565.8
0.146241	0.78	45207.9
0.14844	0.78	52240.2
0.150639	0.78	47217.1
0.152838	0.78	46212.5
0.155038	0.78	42194
0.157237	0.78	41524.3
0.159436	0.78	40854.5
0.161635	0.78	36501.2
0.163834	0.78	39515
0.166033	0.78	38845.3
0.168232	0.78	43868.4
0.170431	0.78	37840.7
0.172631	0.78	44873
0.17483	0.78	52575.1
0.177029	0.78	47217.1
0.179228	0.78	45877.6
0.181427	0.78	46547.4
0.183626	0.78	46882.2
0.185825	0.78	49561.2
0.188024	0.78	47552
0.190223	0.78	52910
0.192423	0.78	52910
0.194622	0.78	58602.8
0.196821	0.78	49896.1
0.19902	0.78	61616.7
0.201219	0.78	60277.2
0.203418	0.78	54919.2
0.205617	0.78	56258.7
0.207816	0.78	50231
0.210015	0.78	45207.9
0.212215	0.78	39515
0.214414	0.78	29134
0.216613	0.78	28129.3
0.218812	0.78	14734.4
0.00109956	0.9	12390.3
0.00329867	0.9	7702.08
0.00549779	0.9	5023.1
0.0076969	0.9	1674.37
0.00989602	0.9	334.873
0.0120951	0.9	1339.49
0.0142942	0.9	669.746
0.0164934	0.9	1004.62
0.0186925	0.9	334.873
0.0208916	0.9	334.873
0.0230907	0.9	334.873
0.0252898	0.9	1004.62
0.0274889	0.9	334.873
0.0296881	0.9	669.746
0.0318872	0.9	1004.62
0.0340863	0.9	1004.62
0.0362854	0.9	1339.49
0.0384845	0.9	334.873
0.0406836	0.9	1004.62
0.0428827	0.9	334.873
0.0450819	0.9	1339.49
0.047281	0.9	669.746
0.0494801	0.9	669.746
0.0516792	0.9	1004.62
0.0538783	0.9	669.746
0.0560774	0.9	1004.62
0.0582765	0.9	669.746
0.0604757	0.9	1339.49
0.0626748	0.9	334.873
0.0648739	0.9	1674.37
0.067073	0.9	334.873
0.0692721	0.9	1004.62
0.0714712	0.9	2344.11
0.0736704	0.9	1004.62
0.0758695	0.9	1674.37
0.0780686	0.9	334.873
0.0802677	0.9	669.746
0.0824668	0.9	669.746
0.0846659	0.9	1674.37
0.086865	0.9	1674.37
0.0890642	0.9	669.746
0.0912633	0.9	334.873
0.0934624	0.9	669.746
0.0956615	0.9	1004.62
0.0978606	0.9	1339.49
0.10006	0.9	669.746
0.102259	0.9	2344.11
0.104458	0.9	3348.73
0.106657	0.9	4018.48
0.108856	0.9	12055.4
0.111055	0.9	14064.7
0.113254	0.9	22101.6
0.115454	0.9	29134
0.117653	0.9	36501.2
0.119852	0.9	43533.5
0.122051	0.9	48891.5
0.12425	0.9	54249.5
0.126449	0.9	56928.4
0.128648	0.9	56258.7
0.130847	0.9	57598.2
0.133046	0.9	55254.1
0.135246	0.9	56928.4
0.137445	0.9	50900.7
0.139644	0.9	53914.6
0.141843	0.9	53579.7
0.144042	0.9	47886.9
0.146241	0.9	48556.6
0.14844	0.9	46212.5
0.150639	0.9	44873
0.152838	0.9	41189.4
0.155038	0.9	44203.3
0.157237	0.9	38175.5
0.159436	0.9	38175.5
0.161635	0.9	46212.5
0.163834	0.9	40854.5
0.166033	0.9	46547.4
0.168232	0.9	39515
0.170431	0.9	42863.8
0.172631	0.9	40519.7
0.17483	0.9	43868.4
0.177029	0.9	45542.8
0.179228	0.9	48221.7
0.181427	0.9	43198.6
0.183626	0.9	44538.1
0.185825	0.9	53914.6
0.188024	0.9	53579.7
0.190223	0.9	54584.3
0.192423	0.9	58602.8
0.194622	0.9	53579.7
0.196821	0.9	53579.7
0.19902	0.9	55923.8
0.201219	0.9	53579.7
0.203418	0.9	52575.1
0.205617	0.9	47552
0.207816	0.9	47886.9
0.210015	0.9	45542.8
0.212215	0.9	36836
0.214414	0.9	28799.1
0.216613	0.9	21431.9
0.218812	0.9	14399.5
0.00109956	1.02	10715.9
0.00329867	1.02	9711.32
0.00549779	1.02	4018.48
0.0076969	1.02	3348.73
0.00989602	1.02	669.746
0.0120951	1.02	1339.49
0.0142942	1.02	334.873
0.0164934	1.02	1004.62
0.0186925	1.02	669.746
0.0208916	1.02	1339.49
0.0230907	1.02	334.873
0.0252898	1.02	334.873
0.0274889	1.02	669.746
0.0296881	1.02	334.873
0.0318872	1.02	669.746
0.0340863	1.02	1004.62
0.0362854	1.02	669.746
0.0384845	1.02	1339.49
0.0406836	1.02	1004.62
0.0428827	1.02	1004.62
0.0450819	1.02	2009.24
0.047281	1.02	1674.37
0.0494801	1.02	1339.49
0.0516792	1.02	334.873
0.0538783	1.02	334.873
0.0560774	1.02	1339.49
0.0582765	1.02	0
0.0604757	1.02	2009.24
0.0626748	1.02	1004.62
0.0648739	1.02	1004.62
0.067073	1.02	1674.37
0.0692721	1.02	1004.62
0.0714712	1.02	669.746
0.0736704	1.02	669.746
0.0758695	1.02	669.746
0.0780686	1.02	669.746
0.0802677	1.02	1004.62
0.0824668	1.02	669.746
0.0846659	1.02	0
0.086865	1.02	334.873
0.0890642	1.02	334.873
0.0912633	1.02	1004.62
0.0934624	1.02	1004.62
0.0956615	1.02	334.873
0.0978606	1.02	0
0.10006	1.02	2678.99
0.102259	1.02	1004.62
0.104458	1.02	5023.1
0.106657	1.02	11050.8
0.108856	1.02	13394.9
0.111055	1.02	20092.4
0.113254	1.02	21766.8
0.115454	1.02	28464.2
0.117653	1.02	40184.8
0.119852	1.02	39180.2
0.122051	1.02	49896.1
0.12425	1.02	48556.6
0.126449	1.02	58602.8
0.128648	1.02	57598.2
0.130847	1.02	54584.3
0.133046	1.02	56593.6
0.135246	1.02	52910
0.137445	1.02	52910
0.139644	1.02	55254.1
0.141843	1.02	48891.5
0.144042	1.02	59607.4
0.146241	1.02	49561.2
0.14844	1.02	43533.5
0.150639	1.02	46547.4
0.152838	1.02	44538.1
0.155038	1.02	47886.9
0.157237	1.02	44203.3
0.159436	1.02	37505.8
0.161635	1.02	38175.5
0.163834	1.02	43868.4
0.166033	1.02	38175.5
0.168232	1.02	41189.4
0.170431	1.02	38845.3
0.172631	1.02	48556.6
0.17483	1.02	48556.6
0.177029	1.02	53244.8
0.179228	1.02	47886.9
0.181427	1.02	46882.2
0.183626	1.02	48556.6
0.185825	1.02	52240.2
0.188024	1.02	41524.3
0.190223	1.02	50231
0.192423	1.02	54584.3
0.194622	1.02	52240.2
0.196821	1.02	57933.1
0.19902	1.02	50900.7
0.201219	1.02	54249.5
0.203418	1.02	60612
0.205617	1.02	53244.8
0.207816	1.02	49226.4
0.210015	1.02	43868.4
0.212215	1.02	32817.6
0.214414	1.02	28464.2
0.216613	1.02	19087.8
0.218812	1.02	17413.4
0.00109956	1.14	13394.9
0.00329867	1.14	8371.83
0.00549779	1.14	6697.46
0.0076969	1.14	1674.37
0.00989602	1.14	669.746
0.0120951	1.14	1674.37
0.0142942	1.14	334.873
0.0164934	1.14	669.746
0.0186925	1.14	334.873
0.0208916	1.14	334.873
0.0230907	1.14	0
